id,moved_at,product_id,type,amount
886de329-f689-49f8-9a05-6560ee243791,2023-04-05T12:51:12.732339666,82f25107-c591-4a24-ba0f-948db1da22dd,ADDITION,1361.386085867406
91ee2fea-7705-4fe9-b50e-2a8fa8b8c284,2023-04-05T13:03:12.732339666,b2bcb62e-b2b4-46c1-a86d-24954c89dee3,ADDITION,1157.625375867947
446f893c-e386-4a5a-859d-632dda6fb4cd,2023-04-05T13:15:12.732339666,f85e51e5-9cd9-41e8-b54c-1da05e72f4b4,ADDITION,1895.1118571397374
98f76239-0202-450a-9e4a-ef164bd447fc,2023-04-05T13:16:12.732339666,b2bcb62e-b2b4-46c1-a86d-24954c89dee3,REMOVAL,1144.1080805632287
0811932a-6854-4aed-87a8-01e2ec9500d6,2023-04-05T13:27:12.732339666,a3bb92e7-5862-46fc-a06d-49d18e6a1215,ADDITION,831.9689775121025
976d3d0f-1433-4aa0-a7d2-80d51879b6c0,2023-04-05T13:39:12.732339666,ed03c888-864e-432b-8769-08b771d7abcd,ADDITION,1615.546019103675
fc7c1bf8-bfb6-4c2b-b2c5-fbad6531a0e1,2023-04-05T13:49:12.732339666,92200126-cfba-4677-8741-fab8ef1322d1,ADDITION,1831.8569528396379
59b9fc30-b476-4197-a4fd-cb49471c014e,2023-04-05T13:53:12.732339666,92200126-cfba-4677-8741-fab8ef1322d1,REMOVAL,188.95932425360294
02c605cb-3350-428d-ba0d-991f09a450eb,2023-04-05T13:56:12.732339666,f85e51e5-9cd9-41e8-b54c-1da05e72f4b4,REMOVAL,1449.241904955265
574d4c06-be0e-457f-b4eb-00a26831f540,2023-04-05T14:02:12.732339666,82f25107-c591-4a24-ba0f-948db1da22dd,REMOVAL,1172.7760235159199
15b4a65e-2acc-4463-9ced-43f9e996e303,2023-04-05T14:04:12.732339666,12889974-ce50-47d5-b650-ed1c3a58bb05,ADDITION,468.10635304504046
68403642-9f81-44ac-960d-66d2c22bdcd9,2023-04-05T14:08:12.732339666,82f25107-c591-4a24-ba0f-948db1da22dd,ADDITION,896.0065602079233
2635a317-0179-418a-a03a-add061a9358e,2023-04-05T14:19:12.732339666,ed03c888-864e-432b-8769-08b771d7abcd,REMOVAL,678.0121235733569
48624f08-9091-45a0-9141-d6ae22c207a7,2023-04-05T14:19:12.732339666,94b91cca-66f2-44c7-a274-b56d3d9c0011,ADDITION,134.1621090756142
